AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
TOTAL DE VOTOS VÁLIDOS,12472821,93.722,2021-06-07T05:48:00Z,74.9552
VOTOS EN BLANCO,77098,0.5790000000000001,2021-06-07T05:48:00Z,74.9552
VOTOS NULOS,758358,5.6979999999999995,2021-06-07T05:48:00Z,74.9552
TOTAL DE VOTOS EMITIDOS,13308277,100,2021-06-07T05:48:00Z,74.9552
TOTAL DE VOTOS VÁLIDOS,12472821,93.722,2021-06-07T05:48:00Z,74.9552
VOTOS EN BLANCO,77098,0.5790000000000001,2021-06-07T05:48:00Z,74.9552
VOTOS NULOS,758358,5.6979999999999995,2021-06-07T05:48:00Z,74.9552
TOTAL DE VOTOS EMITIDOS,13308277,100,2021-06-07T05:48:00Z,74.9552
TOTAL DE VOTOS VÁLIDOS,14118506,93.71700000000001,2021-06-07T06:48:00Z,82.074699999999993
VOTOS EN BLANCO,89955,0.597,2021-06-07T06:48:00Z,82.074699999999993
VOTOS NULOS,856611,5.686,2021-06-07T06:48:00Z,82.074699999999993
TOTAL DE VOTOS EMITIDOS,15065072,100,2021-06-07T06:48:00Z,82.074699999999993
TOTAL DE VOTOS VÁLIDOS,15041683,93.71100000000001,2021-06-07T07:47:00Z,85.21920000000001
VOTOS EN BLANCO,98316,0.613,2021-06-07T07:47:00Z,85.21920000000001
VOTOS NULOS,911073,5.676,2021-06-07T07:47:00Z,85.21920000000001
TOTAL DE VOTOS EMITIDOS,16051072,100,2021-06-07T07:47:00Z,85.21920000000001
TOTAL DE VOTOS VÁLIDOS,15587613,93.697,2021-06-07T08:48:00Z,87.69369999999999
VOTOS EN BLANCO,103285,0.621,2021-06-07T08:48:00Z,87.69369999999999
VOTOS NULOS,945234,5.6819999999999995,2021-06-07T08:48:00Z,87.69369999999999
TOTAL DE VOTOS EMITIDOS,16636132,100,2021-06-07T08:48:00Z,87.69369999999999
TOTAL DE VOTOS VÁLIDOS,15982083,93.698,2021-06-07T09:48:00Z,89.1899
VOTOS EN BLANCO,107187,0.628,2021-06-07T09:48:00Z,89.1899
VOTOS NULOS,967773,5.6739999999999995,2021-06-07T09:48:00Z,89.1899
TOTAL DE VOTOS EMITIDOS,17057043,100,2021-06-07T09:48:00Z,89.1899
TOTAL DE VOTOS VÁLIDOS,16173319,93.695,2021-06-07T10:48:00Z,90.2024
VOTOS EN BLANCO,109070,0.632,2021-06-07T10:48:00Z,90.2024
VOTOS NULOS,979263,5.673,2021-06-07T10:48:00Z,90.2024
TOTAL DE VOTOS EMITIDOS,17261652,100,2021-06-07T10:48:00Z,90.2024
TOTAL DE VOTOS VÁLIDOS,16326714,93.696,2021-06-07T11:47:00Z,90.90920000000001
VOTOS EN BLANCO,110513,0.634,2021-06-07T11:47:00Z,90.90920000000001
VOTOS NULOS,988011,5.67,2021-06-07T11:47:00Z,90.90920000000001
TOTAL DE VOTOS EMITIDOS,17425238,100,2021-06-07T11:47:00Z,90.90920000000001
TOTAL DE VOTOS VÁLIDOS,16463680,93.7,2021-06-07T12:48:00Z,91.4582
VOTOS EN BLANCO,111711,0.636,2021-06-07T12:48:00Z,91.4582
VOTOS NULOS,995182,5.663999999999999,2021-06-07T12:48:00Z,91.4582
TOTAL DE VOTOS EMITIDOS,17570573,100,2021-06-07T12:48:00Z,91.4582
TOTAL DE VOTOS VÁLIDOS,16579010,93.702,2021-06-07T13:53:00Z,92.11120000000001
VOTOS EN BLANCO,112802,0.638,2021-06-07T13:53:00Z,92.11120000000001
VOTOS NULOS,1001443,5.659999999999999,2021-06-07T13:53:00Z,92.11120000000001
TOTAL DE VOTOS EMITIDOS,17693255,100,2021-06-07T13:53:00Z,92.11120000000001
TOTAL DE VOTOS VÁLIDOS,16606935,93.702,2021-06-07T14:18:00Z,92.36269999999999
VOTOS EN BLANCO,113070,0.638,2021-06-07T14:18:00Z,92.36269999999999
VOTOS NULOS,1003079,5.659999999999999,2021-06-07T14:18:00Z,92.36269999999999
TOTAL DE VOTOS EMITIDOS,17723084,100,2021-06-07T14:18:00Z,92.36269999999999
TOTAL DE VOTOS VÁLIDOS,16653970,93.702,2021-06-07T14:48:00Z,92.616
VOTOS EN BLANCO,113494,0.639,2021-06-07T14:48:00Z,92.616
VOTOS NULOS,1005875,5.659,2021-06-07T14:48:00Z,92.616
TOTAL DE VOTOS EMITIDOS,17773339,100,2021-06-07T14:48:00Z,92.616
TOTAL DE VOTOS VÁLIDOS,16682316,93.703,2021-06-07T15:17:00Z,92.7043
VOTOS EN BLANCO,113719,0.639,2021-06-07T15:17:00Z,92.7043
VOTOS NULOS,1007271,5.6579999999999995,2021-06-07T15:17:00Z,92.7043
TOTAL DE VOTOS EMITIDOS,17803306,100,2021-06-07T15:17:00Z,92.7043
TOTAL DE VOTOS VÁLIDOS,16713105,93.70400000000001,2021-06-07T15:48:00Z,92.6914
VOTOS EN BLANCO,113997,0.639,2021-06-07T15:48:00Z,92.6914
VOTOS NULOS,1009042,5.656999999999999,2021-06-07T15:48:00Z,92.6914
TOTAL DE VOTOS EMITIDOS,17836144,100,2021-06-07T15:48:00Z,92.6914
TOTAL DE VOTOS VÁLIDOS,16772821,93.706,2021-06-07T16:19:00Z,93.1166
VOTOS EN BLANCO,114507,0.64,2021-06-07T16:19:00Z,93.1166
VOTOS NULOS,1011988,5.653999999999999,2021-06-07T16:19:00Z,93.1166
TOTAL DE VOTOS EMITIDOS,17899316,100,2021-06-07T16:19:00Z,93.1166
TOTAL DE VOTOS VÁLIDOS,16802406,93.706,2021-06-07T16:48:00Z,93.2356
VOTOS EN BLANCO,114773,0.64,2021-06-07T16:48:00Z,93.2356
VOTOS NULOS,1013714,5.653,2021-06-07T16:48:00Z,93.2356
TOTAL DE VOTOS EMITIDOS,17930893,100,2021-06-07T16:48:00Z,93.2356
TOTAL DE VOTOS VÁLIDOS,16802406,93.706,2021-06-07T16:48:00Z,93.2356
VOTOS EN BLANCO,114773,0.64,2021-06-07T16:48:00Z,93.2356
VOTOS NULOS,1013714,5.653,2021-06-07T16:48:00Z,93.2356
TOTAL DE VOTOS EMITIDOS,17930893,100,2021-06-07T16:48:00Z,93.2356
TOTAL DE VOTOS VÁLIDOS,16825540,93.705,2021-06-07T17:48:00Z,93.2863
VOTOS EN BLANCO,115055,0.641,2021-06-07T17:48:00Z,93.2863
VOTOS NULOS,1015172,5.653999999999999,2021-06-07T17:48:00Z,93.2863
TOTAL DE VOTOS EMITIDOS,17955767,100,2021-06-07T17:48:00Z,93.2863
TOTAL DE VOTOS VÁLIDOS,16861853,93.705,2021-06-07T18:18:00Z,93.4334
VOTOS EN BLANCO,115513,0.642,2021-06-07T18:18:00Z,93.4334
VOTOS NULOS,1017218,5.653,2021-06-07T18:18:00Z,93.4334
TOTAL DE VOTOS EMITIDOS,17994584,100,2021-06-07T18:18:00Z,93.4334
